,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,X_res,Y_res,ppi,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
166,Acer,Notebook,15.6,1366x768,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,32320,1366,768,100.45,0,0,1,0,0,0
167,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.56,94288,1920,1080,141.21,0,0,1,128,0,0
168,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,3.0,75929,1920,1080,127.34,1,0,0,256,0,0
169,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.49,67038,1920,1080,165.63,1,0,500,0,0,0
171,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5,6,2TB HDD,AMD Radeon,Windows 10,2.71,62148,1920,1080,127.34,1,0,2,0,0,0
172,Lenovo,Notebook,15.6,1366x768,AMD A-Series,4,500GB HDD,AMD Radeon,No OS,2.2,27473,1366,768,100.45,0,0,500,0,0,0
173,Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.0,43477,1366,768,100.45,0,0,500,0,0,0
174,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,82064,1920,1080,127.34,0,0,0,256,0,0
175,Dell,Notebook,15.6,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.3,40810,1366,768,100.45,0,0,1,0,0,0
176,Acer,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.1,39921,1366,768,100.45,0,0,0,128,0,0
178,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows 10,1.9,72284,1920,1080,141.21,0,0,1,128,0,0
179,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.29,133276,3840,2160,331.26,1,1,0,256,0,0
180,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Linux,2.02,93267,1920,1080,141.21,0,0,2,256,0,0
181,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.23,124385,1920,1080,165.63,0,0,0,256,0,0
183,Toshiba,Notebook,15.6,1366x768,Intel Core i5,8,128GB SSD,Intel HD,Windows 10,2.0,70506,1366,768,100.45,0,0,0,128,0,0
185,Dell,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.77,137722,1920,1080,127.34,0,1,0,512,0,0
186,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,213117,3840,2160,282.42,0,1,0,512,0,0
187,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.4,69261,1920,1080,141.21,1,0,0,256,0,0
188,Acer,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.12,87932,1920,1080,165.63,1,0,0,256,0,0
189,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,96467,1920,1080,127.34,0,0,1,128,0,0
190,Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7,16,1TB SSD,Intel HD,Windows 10,1.42,251082,2560,1440,209.8,0,1,0,1,0,0
193,Lenovo,Notebook,17.3,1600x900,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.8,62059,1600,900,106.11,0,0,0,256,0,0
194,Dell,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,1.62,74595,1920,1080,165.63,1,1,1,0,0,0
195,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,81264,1920,1080,127.34,1,0,1,0,0,0
197,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i5,8,512GB SSD,Intel UHD,Windows 10,1.49,85265,1920,1080,165.63,0,0,0,512,0,0
198,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,122607,1920,1080,127.34,1,0,1,256,0,0
199,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,92911,1920,1080,127.34,0,0,0,256,0,0
200,Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,164039,3840,2160,282.42,1,0,1,512,0,0
201,Lenovo,Notebook,15.6,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,2.1,43833,1366,768,100.45,0,0,0,128,0,0
202,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.23,65971,1920,1080,141.21,0,0,1,0,0,0
203,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,155504,1920,1080,141.21,1,0,1,512,0,0
204,Dell,Workstation,15.6,4K Ultra HD 3840x2160,Other Intel Processor,16,256GB SSD +  1TB HDD,Nvidia Quadro,Windows 10,2.8,271620,3840,2160,282.42,0,0,1,256,0,0
205,Lenovo,Gaming,15.6,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,No OS,2.4,124296,1920,1080,141.21,0,0,0,512,0,0
206,Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.3,39031,1366,768,100.45,0,1,1,0,0,0
207,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,173286,3840,2160,331.26,1,1,0,256,0,0
208,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,128831,1920,1080,165.63,0,0,0,256,0,0
209,Lenovo,Notebook,15.6,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.2,53079,1366,768,100.45,0,0,0,256,0,0
210,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,69261,1920,1080,141.21,0,0,1,0,0,0
211,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,125096,1920,1080,127.34,0,0,1,256,0,0
212,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,500GB HDD,Intel HD,No OS,2.1,31030,1920,1080,141.21,0,0,500,0,0,0
213,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,No OS,2.2,48812,1920,1080,141.21,0,0,0,256,0,0
215,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.4,82853,1920,1080,165.63,1,0,0,256,0,0
216,Lenovo,Notebook,17.3,1600x900,Intel Core i5,8,1TB HDD,Nvidia GeForce,No OS,2.8,52368,1600,900,106.11,0,0,1,0,0,0
217,HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.63,91666,1920,1080,157.35,0,0,0,256,0,0
218,Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.6,102158,1920,1080,157.35,0,0,0,256,0,0
219,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.62,113716,1920,1080,165.63,0,1,0,512,0,0
220,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Linux,2.2,60223,1920,1080,141.21,0,0,0,256,0,0
221,Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.74,79930,1920,1080,157.35,1,0,0,256,0,0
222,Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.2,121184,1920,1080,165.63,0,0,0,256,0,0
223,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,1TB HDD,Intel UHD,Windows 10,2.1,70595,1920,1080,141.21,0,0,1,0,0,0
224,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,218393,1920,1080,127.34,1,0,1,256,0,0
225,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,73973,1920,1080,141.21,0,0,0,256,0,0
226,Dell,Notebook,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7,16,1TB HDD,AMD Radeon,Windows 10,2.3,76375,1920,1080,141.21,0,1,1,0,0,0
227,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,68372,1920,1080,141.21,0,0,0,256,0,0
228,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i5,8,256GB SSD +  500GB HDD,Nvidia GeForce,Windows 10,2.69,79219,1920,1080,127.34,0,0,500,256,0,0
229,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,1TB HDD,AMD FirePro,Windows 10,1.9,112827,1920,1080,141.21,0,0,1,0,0,0
230,Asus,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.37,35474,1366,768,100.45,0,0,1,0,0,0
231,HP,Notebook,15.6,1366x768,AMD E-Seies,4,500GB HDD,AMD Radeon,Windows 10,2.1,29340,1366,768,100.45,0,0,500,0,0,0
232,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,133276,1920,1080,141.21,1,0,1,256,0,0
233,Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.6,76374,1920,1080,157.35,0,0,0,256,0,0
234,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.6,61259,1920,1080,165.63,1,1,0,256,0,0
235,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,16,256GB SSD,AMD Radeon,Linux,2.36,79930,1920,1080,141.21,0,0,0,256,0,0
236,Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,34675,1366,768,100.45,0,0,1,0,0,0
237,Asus,Notebook,15.6,Full HD 1920x1080,AMD A-Series,4,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.2,51123,1920,1080,141.21,0,0,1,128,0,0
238,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.7,345860,1920,1080,127.34,0,0,1,512,0,0
239,Acer,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,75218,1920,1080,141.21,1,0,0,256,0,0
240,Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,128GB SSD,Intel HD,Windows 10,2.2,52368,1366,768,100.45,0,0,0,128,0,0
241,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.1,101802,1920,1080,127.34,0,0,1,128,0,0
242,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.69,79041,1920,1080,127.34,0,0,1,128,0,0
243,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.56,78152,1920,1080,141.21,0,0,0,256,0,0
245,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.2,87576,1920,1080,141.21,0,0,2,128,0,0
246,HP,Notebook,15.6,Touchscreen 1366x768,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.04,49701,1366,768,100.45,0,1,1,0,0,0
247,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,3.6,266641,1920,1080,127.34,0,0,0,256,0,0
248,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.49,60014,1920,1080,165.63,1,0,500,0,0,0
249,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5,8,512GB SSD,Intel Iris,mac OS,1.37,181376,2560,1600,226.98,1,0,0,512,0,0
250,Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,2.08,72817,1920,1080,141.21,1,1,1,0,0,0
251,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.3,159949,1920,1080,127.34,0,0,1,256,0,0
252,Asus,Notebook,15.6,1366x768,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,1.68,41699,1366,768,100.45,0,0,1,0,0,0
254,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows 10,3.0,62415,1920,1080,127.34,1,0,0,256,0,0
255,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.41,84376,1920,1080,165.63,0,0,0,256,0,0
256,HP,Notebook,15.6,1366x768,AMD A-Series,8,128GB SSD,AMD Radeon,Windows 10,1.91,39645,1366,768,100.45,0,0,0,128,0,0
257,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7,16,1TB HDD,Nvidia GeForce,Windows 10,2.9,94156,1920,1080,127.34,1,0,1,0,0,0
258,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.14,222186,1920,1080,127.34,0,0,1,512,0,0
259,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,2.0,151058,1920,1080,141.21,1,1,0,512,0,0
260,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,101535,1920,1080,127.34,0,0,1,128,0,0
261,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,256GB SSD,Intel HD,No OS,2.2,39476,1920,1080,141.21,0,0,0,256,0,0
262,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.1,64193,1920,1080,141.21,1,0,500,0,0,0
263,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,2.18,58414,1920,1080,141.21,0,0,1,0,0,0
264,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.24,50234,1920,1080,141.21,0,0,1,0,0,0
265,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.67,71039,1920,1080,141.21,0,1,0,256,0,0
266,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7,8,512GB SSD +  512GB SSD,Intel UHD,Windows 10,1.1,133276,1920,1080,165.63,0,1,0,1024,0,0
267,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,4,1TB HDD,Intel HD,No OS,2.2,41521,1920,1080,141.21,0,0,1,0,0,0
268,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,90510,1920,1080,127.34,0,0,1,0,0,0
269,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,2.05,78241,1920,1080,141.21,0,0,0,256,0,0
270,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5,8,512GB SSD,Intel Iris,mac OS,1.37,174166,2560,1600,226.98,1,0,0,512,0,0
271,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen Series,16,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,137722,1920,1080,127.34,0,0,1,256,0,0
272,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.14,65355,1920,1080,141.21,0,0,0,256,0,0
273,Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.36,222186,2560,1440,209.8,0,1,0,512,0,0
274,Toshiba,Notebook,15.6,1366x768,Intel Core i7,8,500GB HDD,Nvidia GeForce,Windows 10,2.2,72195,1366,768,100.45,0,0,500,0,0,0
275,Dell,Notebook,15.6,1366x768,Intel Core i7,12,1TB HDD,Intel HD,Windows 10,2.3,63399,1366,768,100.45,0,0,1,0,0,0
276,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Linux,2.8,97712,1920,1080,127.34,0,0,1,128,0,0
277,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,66238,1920,1080,141.21,1,0,1,0,0,0
278,Lenovo,Notebook,17.3,1600x900,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.8,43477,1600,900,106.11,0,0,1,0,0,0
279,Lenovo,Notebook,17.3,Full HD 1920x1080,Intel Core i7,8,2TB HDD,Nvidia GeForce,No OS,2.8,75485,1920,1080,127.34,0,0,2,0,0,0
280,Lenovo,Notebook,17.3,1600x900,Intel Core i7,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,76374,1600,900,106.11,0,0,1,128,0,0
281,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.25,38053,1920,1080,141.21,0,0,1,0,0,0
282,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,73706,1920,1080,141.21,1,0,0,256,0,0
283,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,6,256GB SSD,Intel HD,Windows 10,2.2,51479,1920,1080,141.21,0,0,0,256,0,0
284,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,3.0,84553,1920,1080,141.21,1,0,0,256,0,0
285,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,12,1TB HDD,Intel HD,Windows 10,2.15,58592,1920,1080,141.21,1,1,1,0,0,0
286,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.95,97534,1920,1080,141.21,1,0,0,256,0,0
287,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,86865,1920,1080,141.21,0,0,0,256,0,0
288,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,104825,1920,1080,141.21,1,0,1,256,0,0
289,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,No OS,2.2,58593,1920,1080,141.21,0,0,1,0,0,0
290,Acer,Notebook,15.6,1366x768,Other Intel Processor,2,16GB SSD,Intel HD,Chrome OS,2.19,17693,1366,768,100.45,0,0,0,16,0,0
291,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.0,105536,1920,1080,127.34,0,0,1,0,0,0
292,HP,Notebook,17.3,1600x900,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.54,43477,1600,900,106.11,0,0,1,0,0,0
293,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,162616,1920,1080,141.21,0,0,0,256,0,0
294,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.05,65704,1920,1080,141.21,0,0,0,256,0,0
295,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.2,115494,1920,1080,141.21,1,0,1,0,0,0
296,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,87043,1920,1080,141.21,0,0,0,256,0,0
297,Dell,Workstation,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD,Nvidia Quadro,Windows 10,3.42,256493,1920,1080,127.34,0,0,0,256,0,0
298,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A-Series,6,1TB HDD,AMD Radeon,Windows 10,2.4,44366,1920,1080,141.21,0,0,1,0,0,0
299,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.63,130520,1920,1080,141.21,0,0,0,512,0,0
300,Asus,Notebook,14.0,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.3,45255,1366,768,111.94,0,0,0,128,0,0
301,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,188667,1920,1080,127.34,0,0,1,256,0,0
302,Lenovo,Notebook,17.3,1600x900,Intel Core i5,6,1TB HDD,Nvidia GeForce,Windows 10,2.8,57703,1600,900,106.11,0,0,1,0,0,0
303,Lenovo,Notebook,15.6,1366x768,Intel Core i5,8,2TB HDD,Nvidia GeForce,No OS,2.2,48812,1366,768,100.45,0,0,2,0,0,0
304,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,112471,1920,1080,141.21,0,0,1,128,0,0
305,Lenovo,Notebook,15.6,1366x768,Other Intel Processor,4,1TB HDD,Intel HD,No OS,2.2,32007,1366,768,100.45,0,0,1,0,0,0
306,HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7,16,256GB SSD,Intel HD,Windows 10,1.28,175597,1920,1080,165.63,0,1,0,256,0,0
307,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,92733,1920,1080,141.21,1,0,0,256,0,0
308,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.3,72817,1920,1080,141.21,0,0,1,128,0,0
309,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.86,41699,1920,1080,141.21,0,0,1,0,0,0
310,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.1,88821,1920,1080,165.63,1,0,0,256,0,0
311,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7,16,1TB SSD,Intel UHD,Windows 10,1.21,222186,3840,2160,331.26,1,1,0,1,0,0
312,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,186622,1920,1080,141.21,1,0,1,256,0,0
313,Acer,Notebook,15.6,Full HD 1920x1080,AMD A-Series,8,256GB SSD,AMD Radeon,Windows 10,2.23,41699,1920,1080,141.21,0,0,0,256,0,0
314,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.1,24450,1366,768,135.09,0,1,0,0,0,32
315,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.33,75040,1920,1080,141.21,0,0,1,128,0,0
316,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7,16,1TB SSD,Intel UHD,Windows 10,1.29,217741,3840,2160,331.26,1,1,0,1,0,0
317,Lenovo,Notebook,13.3,1366x768,Other Intel Processor,4,16GB Flash Storage,Intel HD,Chrome OS,1.45,40890,1366,768,117.83,0,0,0,0,0,16
318,HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.95,87132,1920,1080,157.35,0,0,0,256,0,0
319,Acer,Notebook,11.6,1366x768,Other Intel Processor,4,128GB Flash Storage,Intel HD,Windows 10,1.4,43121,1366,768,135.09,0,0,0,0,0,128
320,HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.48,114872,1920,1080,157.35,0,0,0,256,0,0
321,Lenovo,Notebook,17.3,1600x900,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows 10,2.79,52368,1600,900,106.11,0,0,1,0,0,0
322,Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.0,97268,1920,1080,157.35,0,0,0,256,0,0
323,HP,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,2.1,80197,1366,768,100.45,1,0,1,0,0,0
324,Acer,Notebook,15.6,1366x768,AMD A-Series,8,256GB SSD,AMD Radeon,Windows 10,2.2,58592,1366,768,100.45,0,0,0,256,0,0
325,Lenovo,Notebook,14.0,1366x768,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.44,25962,1366,768,111.94,0,0,0,0,0,32
326,Acer,Notebook,15.6,1366x768,Intel Core i5,6,1TB HDD,Intel HD,Windows 10,2.23,48812,1366,768,100.45,0,0,1,0,0,0
327,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,93347,1920,1080,141.21,0,0,0,256,0,0
328,HP,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.26,118695,1920,1080,176.23,0,0,0,256,0,0
329,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7,32,1TB SSD,Nvidia GeForce,Windows 10,2.06,234633,3840,2160,282.42,0,1,0,1,0,0
